年级单元,单词,音标,释义,例句
七年级下册U1,fox,/fɒks/,狐狸,The fox is clever.
七年级下册U1,giraffe,/dʒəˈrɑːf/,长颈鹿,Giraffes are very tall.
七年级下册U1,eagle,/ˈiːɡl/,雕；鹰,The eagle can fly high.
七年级下册U1,wolf,/wʊlf/,狼（pl. wolves）,The wolf howls at night.
七年级下册U1,penguin,/ˈpeŋɡwɪn/,企鹅,Penguins live in Antarctica.
七年级下册U1,care,/keə(r)/,照顾；关心,Take care of yourself.
七年级下册U1,sandwich,/ˈsænwɪtʃ/,三明治,I eat a sandwich for lunch.
七年级下册U1,snake,/sneɪk/,蛇,The snake is long.
七年级下册U1,scary,/ˈskeəri/,吓人的,The movie is scary.
七年级下册U1,neck,/nek/,脖子,The giraffe has a long neck.
七年级下册U1,guess,/ɡes/,猜测,Guess what I have!
七年级下册U1,shark,/ʃɑːk/,鲨鱼,Sharks live in the sea.
七年级下册U1,whale,/weɪl/,鲸,The whale is huge.
七年级下册U1,huge,/hjuːdʒ/,巨大的,The elephant is huge.
七年级下册U1,dangerous,/ˈdeɪndʒərəs/,危险的,Tigers are dangerous.
七年级下册U1,save,/seɪv/,救；储蓄,We should save the animals.
七年级下册U1,luck,/lʌk/,幸运,Good luck to you!
七年级下册U1,trunk,/trʌŋk/,象鼻,The elephant uses its trunk.
七年级下册U1,pick,/pɪk/,捡；摘,Pick up the book.
七年级下册U1,carry,/ˈkæri/,拿；提,Can you carry this box?
七年级下册U1,playful,/ˈpleɪfl/,爱嬉戏的,The puppy is playful.
七年级下册U1,swimmer,/ˈswɪmə(r)/,游泳者,He is a good swimmer.
七年级下册U1,culture,/ˈkʌltʃə(r)/,文化,Chinese culture is rich.
七年级下册U2,rule,/ruːl/,规则；规章,Follow the school rules.
七年级下册U2,order,/ˈɔːdə(r)/,秩序；顺序；命令,Keep order in the classroom.
七年级下册U2,follow,/ˈfɒləʊ/,遵守；跟随,Follow the rules.
七年级下册U2,break,/breɪk/,打破；违反,Don't break the rules.
七年级下册U2,library,/ˈlaɪbrəri/,图书馆,Be quiet in the library.
七年级下册U2,hallway,/ˈhɔːlweɪ/,走廊；过道,Don't run in the hallway.
七年级下册U2,listen,/ˈlɪsn/,听,Listen to the teacher.
七年级下册U2,fight,/faɪt/,打架；战斗,Don't fight with others.
七年级下册U2,sorry,/ˈsɒri/,抱歉的；难过的,I'm sorry for being late.
七年级下册U2,wear,/weə(r)/,穿；戴,We must wear uniforms.
七年级下册U2,important,/ɪmˈpɔːtnt/,重要的,It is important to study.
